"Category","Index"
"21/04/2023",1037.07
"28/04/2023",999.73
"05/05/2023",998.29
"12/05/2023",983.41
"19/05/2023",972.45
"26/05/2023",983.46
"02/06/2023",1028.7
"21/06/2023",924.29
"30/06/2023",953.6
"07/07/2023",931.73
"14/07/2023",979.11
"21/07/2023",966.45
"28/07/2023",1029.23
"04/08/2023",1039.32
"11/08/2023",1043.54
"18/08/2023",1031
"25/08/2023",1013.78
"01/09/2023",1033.67
"08/09/2023",999.25
"15/09/2023",948.68
"22/09/2023",911.71
"28/09/2023",886.85
"20/10/2023",917.66
"27/10/2023",1012.6
"03/11/2023",1067.88
"10/11/2023",1030.24
"17/11/2023",999.92
"24/11/2023",993.21
"01/12/2023",1010.81
"08/12/2023",1032.21
"15/12/2023",1093.52
"22/12/2023",1254.99
"29/12/2023",1759.58
"05/01/2024",1896.65
"26/01/2024",2179.09
"02/02/2024",2217.73
"09/02/2024",2166.31
"23/02/2024",2109.91
"08/03/2024",1885.74
"15/03/2024",1772.92
"22/03/2024",1732.57
"29/03/2024",1730.98
"03/04/2024",1745.43
"12/04/2024",1757.04
"19/04/2024",1769.54
"26/04/2024",1940.63
"10/05/2024",2305.79
"17/05/2024",2520.76
"24/05/2024",2703.43
"31/05/2024",3044.77
"07/06/2024",3184.87
"14/06/2024",3379.22
"21/06/2024",3475.6
"28/06/2024",3714.32
"05/07/2024",3733.8
"12/07/2024",3674.86
"19/07/2024",3542.44
"26/07/2024",3447.87
"02/08/2024",3332.67
"09/08/2024",3253.89
"16/08/2024",3281.36
"23/08/2024",3097.63
"30/08/2024",2963.38
"06/09/2024",2726.58
"13/09/2024",2510.95
"20/09/2024",2366.24
"27/09/2024",2135.08
"11/10/2024",2062.57
"18/10/2024",2062.15
"25/10/2024",2185.33
"01/11/2024",2303.44
"08/11/2024",2331.58
"15/11/2024",2251.9
"22/11/2024",2160.08
"29/11/2024",2233.83
"06/12/2024",2256.46
"13/12/2024",2384.4
"20/12/2024",2390.17
"27/12/2024",2460.34
"03/01/2025",2505.17
"10/01/2025",2290.68
"17/01/2025",2130.82
"24/01/2025",2045.45
"07/02/2025",1896.65
"14/02/2025",1758.82
"21/02/2025",1595.08
"28/02/2025",1515.29
"07/03/2025",1436.3
"14/03/2025",1319.34
"21/03/2025",1292.75
"28/03/2025",1356.88
"03/04/2025",1392.78
"11/04/2025",1394.68
"18/04/2025",1370.58
"25/04/2025",1347.84
"30/04/2025",1340.93
"09/05/2025",1345.17
"16/05/2025",1479.39
"23/05/2025",1586.12
"30/05/2025",2072.71
"06/06/2025",2240.35
"13/06/2025",2088.24
"20/06/2025",1869.59
"27/06/2025",1861.51
"04/07/2025",1763.49
"11/07/2025",1733.29
"18/07/2025",1646.9
"25/07/2025",1592.59
"01/08/2025",1550.74
"08/08/2025",1489.68
"15/08/2025",1460.19
"22/08/2025",1415.36
"29/08/2025",1445.06
"05/09/2025",1444.44
"12/09/2025",1398.11
"19/09/2025",1198.21
"26/09/2025",1114.52
